"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","lysophospholipase activity","GO:0004622","0.5491433363952435","0.26031428199692913","11","1","1","2920","Q8IK22"
"GO:MF","phospholipase activity","GO:0004620","0.898598186828548","0.04643446205186366","18","1","1","2920","Q8IK22"
"GO:MF","molecular_function","GO:0003674","1","0","2916","1","1","2920","Q8IK22"
"GO:MF","carboxylic ester hydrolase activity","GO:0052689","1","0","39","1","1","2920","Q8IK22"
"GO:MF","hydrolase activity, acting on ester bonds","GO:0016788","1","0","199","1","1","2920","Q8IK22"
"GO:MF","hydrolase activity","GO:0016787","1","0","694","1","1","2920","Q8IK22"
"GO:MF","lipase activity","GO:0016298","1","0","23","1","1","2920","Q8IK22"
"GO:MF","catalytic activity","GO:0003824","1","0","1540","1","1","2920","Q8IK22"
"GO:CC","symbiont-containing vacuole membrane","GO:0020005","0.047761914444521957","1.320918273670388","32","6","2","3609","O96128,Q7KQM5"
"GO:CC","host cell part","GO:0033643","0.062046111315399596","1.2072854323310176","375","6","4","3609","O96128,Q7KQM5,Q8IFM0,Q8IHN5"
"GO:CC","host cellular component","GO:0018995","0.06660477906731352","1.1764946079453291","382","6","4","3609","O96128,Q7KQM5,Q8IFM0,Q8IHN5"
"GO:CC","host cell","GO:0043657","0.06660477906731352","1.1764946079453291","382","6","4","3609","O96128,Q7KQM5,Q8IFM0,Q8IHN5"
"GO:CC","extracellular membrane-bounded organelle","GO:0065010","0.14567172731542805","0.8366247300582426","56","6","2","3609","O96128,Q7KQM5"
"GO:CC","symbiont-containing vacuole","GO:0020003","0.14567172731542805","0.8366247300582426","56","6","2","3609","O96128,Q7KQM5"
"GO:CC","extracellular organelle","GO:0043230","0.150856575913296","0.8214357539635546","57","6","2","3609","O96128,Q7KQM5"
"GO:CC","host cell cytoplasm part","GO:0033655","0.1621654072095353","0.7900417830489385","218","6","3","3609","O96128,Q7KQM5,Q8IHN5"
"GO:CC","host intracellular part","GO:0033646","0.19384954987969935","0.7125352030910747","232","6","3","3609","O96128,Q7KQM5,Q8IHN5"
"GO:CC","host cell cytoplasm","GO:0030430","0.19384954987969935","0.7125352030910747","232","6","3","3609","O96128,Q7KQM5,Q8IHN5"
"GO:CC","host intracellular region","GO:0043656","0.1962502688493988","0.7071897396286697","233","6","3","3609","O96128,Q7KQM5,Q8IHN5"
"GO:CC","extracellular region","GO:0005576","0.3154840852988876","0.5010225439989341","83","6","2","3609","O96128,Q7KQM5"
"GO:CC","host cell periphery","GO:0044538","0.42481002459199235","0.3718052434011232","6","6","1","3609","Q8IFM0"
"GO:CC","membrane-bounded organelle","GO:0043227","1","0","2050","6","3","3609","O96128,Q7KQM5,Q8IEJ0"
"GO:CC","organelle","GO:0043226","1","0","2238","6","3","3609","O96128,Q7KQM5,Q8IEJ0"
"GO:CC","intracellular organelle","GO:0043229","1","0","2189","6","1","3609","Q8IEJ0"
"GO:CC","intracellular membrane-bounded organelle","GO:0043231","1","0","1970","6","1","3609","Q8IEJ0"
"GO:CC","intrinsic component of membrane","GO:0031224","1","0","1247","6","2","3609","Q8IEJ0,Q8IK22"
"GO:CC","apicoplast","GO:0020011","1","0","387","6","1","3609","Q8IEJ0"
"GO:CC","integral component of membrane","GO:0016021","1","0","1228","6","2","3609","Q8IEJ0,Q8IK22"
"GO:CC","membrane","GO:0016020","1","0","1501","6","2","3609","Q8IEJ0,Q8IK22"
"GO:CC","plastid","GO:0009536","1","0","401","6","1","3609","Q8IEJ0"
"GO:CC","cytoplasm","GO:0005737","1","0","1856","6","1","3609","Q8IEJ0"
"GO:CC","intracellular anatomical structure","GO:0005622","1","0","2540","6","1","3609","Q8IEJ0"
"GO:CC","cellular_component","GO:0005575","1","0","3593","6","6","3609","O96128,Q7KQM5,Q8IEJ0,Q8IFM0,Q8IHN5,Q8IK22"
"GO:CC","Maurer's cleft","GO:0020036","1","0","101","6","1","3609","Q8IHN5"
"GO:CC","cellular anatomical entity","GO:0110165","1","0","3529","6","6","3609","O96128,Q7KQM5,Q8IEJ0,Q8IFM0,Q8IHN5,Q8IK22"
